record_type,year,feature,lag_decorrelation,confidence_band,fallback_168,candidate_records,n_blocks,mean_block_rows,lag_records,median_abs_acf,q25_abs_acf,q75_abs_acf
acf_summary,,,,,,,,,127,0.136786984596,0.0697480349726,0.304013387411
acf_summary,,,,,,,,,128,0.134521850339,0.0598767058653,0.302812886451
acf_summary,,,,,,,,,129,0.139721407336,0.0669713488598,0.301761809737
acf_summary,,,,,,,,,130,0.148349344842,0.0744909322501,0.300796293118
acf_summary,,,,,,,,,131,0.15511527541,0.0808485567743,0.299777501337
acf_summary,,,,,,,,,132,0.15783558785,0.0637699181662,0.298717992961
acf_summary,,,,,,,,,133,0.159427532289,0.0617407026676,0.297634650154
acf_summary,,,,,,,,,134,0.160810122577,0.0640267751924,0.296602090218
acf_summary,,,,,,,,,135,0.162086123943,0.0881110573171,0.295672184075
acf_summary,,,,,,,,,136,0.170611705545,0.108204701555,0.307146197118
acf_summary,,,,,,,,,137,0.187263627163,0.12629606135,0.306098454028
acf_summary,,,,,,,,,138,0.210272793486,0.147032895543,0.314888126284
acf_summary,,,,,,,,,139,0.22209441036,0.168735617035,0.329353105924
acf_summary,,,,,,,,,140,0.221830113486,0.190118373022,0.343582581319
acf_summary,,,,,,,,,141,0.220815773393,0.190483832859,0.345402272115
acf_summary,,,,,,,,,142,0.232119503365,0.201759054684,0.336588606931
acf_summary,,,,,,,,,143,0.23477363584,0.195655411549,0.334534994744
acf_summary,,,,,,,,,144,0.226680941997,0.185664199595,0.332350015394
acf_summary,,,,,,,,,145,0.202174908292,0.171220914751,0.323936812508
acf_summary,,,,,,,,,146,0.175912369365,0.145683748144,0.320749647496
acf_summary,,,,,,,,,147,0.168680082164,0.110574712611,0.294991183038
acf_summary,,,,,,,,,148,0.164952704941,0.0872790924371,0.294752682192
acf_summary,,,,,,,,,149,0.139940950269,0.0637676706747,0.294618796747
acf_summary,,,,,,,,,150,0.113285511376,0.065251247807,0.294666447112
acf_summary,,,,,,,,,151,0.118445702944,0.064705288256,0.294733692654
acf_summary,,,,,,,,,152,0.145437162586,0.0622198986316,0.294690123499
acf_summary,,,,,,,,,153,0.154159220714,0.0669590757966,0.294523953768
acf_summary,,,,,,,,,154,0.159327032404,0.065966277107,0.294209197232
acf_summary,,,,,,,,,155,0.160851802291,0.0628655551718,0.293710828524
acf_summary,,,,,,,,,156,0.161820362866,0.0490875343678,0.293029434913
acf_summary,,,,,,,,,157,0.165750675706,0.0601343285259,0.301141119029
acf_summary,,,,,,,,,158,0.170613094068,0.0647408934759,0.29852785479
acf_summary,,,,,,,,,159,0.173655847684,0.0785762055488,0.295948026358
acf_summary,,,,,,,,,160,0.17388852921,0.115687192216,0.291146739995
acf_summary,,,,,,,,,161,0.178614421154,0.14441683315,0.288210638868
acf_summary,,,,,,,,,162,0.19195630834,0.157512169597,0.288645090112
acf_summary,,,,,,,,,163,0.198129885385,0.168651176698,0.302189621395
acf_summary,,,,,,,,,164,0.205238335848,0.174014049703,0.310572556956
acf_summary,,,,,,,,,165,0.206999420935,0.17335563028,0.318547704467
acf_summary,,,,,,,,,166,0.209611051317,0.171727348734,0.314391040707
acf_summary,,,,,,,,,167,0.207624343333,0.172111737713,0.320639101171
acf_summary,,,,,,,,,168,0.197903123837,0.160697043454,0.318577100161
candidate,,ALL_X,168,,True,12,3063,11.9924910219,,,,
candidate,,ALL_X,168,,True,24,1532,23.977154047,,,,
candidate,,ALL_X,168,,True,48,767,47.8917861799,,,,
candidate,,ALL_X,168,,True,72,512,71.744140625,,,,
candidate,,ALL_X,168,,True,168,221,166.212669683,,,,
