relative_path,scope,windows_absolute_path_occurrences,colab_content_path_occurrences,disposition
reports/executed/v1.0.0/00_protocol/walk_forward_protocol.ipynb,executed_provenance_mirror,6,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/01_dense_pinn/CO/final.ipynb,executed_provenance_mirror,10,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/01_dense_pinn/CO/optimization.ipynb,executed_provenance_mirror,6,2,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/01_dense_pinn/NOx/final.ipynb,executed_provenance_mirror,11,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/01_dense_pinn/NOx/optimization.ipynb,executed_provenance_mirror,5,2,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/02_tt_pinn/CO/final.ipynb,executed_provenance_mirror,11,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/02_tt_pinn/NOx/final.ipynb,executed_provenance_mirror,11,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/03_xgboost/CO/final.ipynb,executed_provenance_mirror,3,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/03_xgboost/CO/optimization.ipynb,executed_provenance_mirror,2,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/03_xgboost/NOx/final.ipynb,executed_provenance_mirror,3,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/03_xgboost/NOx/optimization.ipynb,executed_provenance_mirror,2,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/04_walk_forward/CO/dense_pinn_final.ipynb,executed_provenance_mirror,10,2,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/04_walk_forward/CO/dense_pinn_optimization.ipynb,executed_provenance_mirror,8,1,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/04_walk_forward/CO/xgboost_final.ipynb,executed_provenance_mirror,2,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/04_walk_forward/CO/xgboost_optimization.ipynb,executed_provenance_mirror,1,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/04_walk_forward/NOx/dense_pinn_final.ipynb,executed_provenance_mirror,10,2,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/04_walk_forward/NOx/dense_pinn_optimization.ipynb,executed_provenance_mirror,8,1,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/04_walk_forward/NOx/xgboost_final.ipynb,executed_provenance_mirror,2,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/04_walk_forward/NOx/xgboost_optimization.ipynb,executed_provenance_mirror,1,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/05_comparison/computational_benchmark/CO/tt_addendum.ipynb,executed_provenance_mirror,28,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/05_comparison/computational_benchmark/NOx/tt_addendum.ipynb,executed_provenance_mirror,28,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/05_comparison/interpolative_latency.ipynb,executed_provenance_mirror,8,1,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/05_comparison/interpolative_pareto.ipynb,executed_provenance_mirror,1,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/computational_benchmark/pareto_r4/MANIFEST_R4_DEFINITIVE.json,frozen_campaign_artifact,10,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/computational_benchmark/pareto_r4/tables/definitive_pinn_cpu1_benchmark_raw.csv,frozen_campaign_artifact,20,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/computational_benchmark/tt_pinn_addendum/co/manifests/CHECKPOINT_IMMUTABILITY_CO_TT_PINN_COMPUTATIONAL_ADDENDUM_R1.json,frozen_campaign_artifact,2,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/computational_benchmark/tt_pinn_addendum/co/tables/COMPUTATIONAL_PROFILE_CO_TT_PINN_COMPUTATIONAL_ADDENDUM_R1.csv,frozen_campaign_artifact,4,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/computational_benchmark/tt_pinn_addendum/common/COMPUTATIONAL_PROFILE_CO_NOX_ADDENDUM_R1.csv,frozen_campaign_artifact,8,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/computational_benchmark/tt_pinn_addendum/nox/manifests/CHECKPOINT_IMMUTABILITY_NOX_TT_PINN_COMPUTATIONAL_ADDENDUM_R1.json,frozen_campaign_artifact,2,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/computational_benchmark/tt_pinn_addendum/nox/tables/COMPUTATIONAL_PROFILE_NOX_TT_PINN_COMPUTATIONAL_ADDENDUM_R1.csv,frozen_campaign_artifact,4,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/FULL_AUTO_LOCAL_EXECUTION_CO_R5.json,frozen_campaign_artifact,2,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/LOCAL_EXECUTED_CONSOLIDATION_CO_R5.json,frozen_campaign_artifact,3,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/RESUME_CONFIRMATION_5_WORKERS_CO_R5.json,frozen_campaign_artifact,3,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/RESUME_FROM_140_5_WORKERS_CO_R5.json,frozen_campaign_artifact,2,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/RESUME_FROM_235_SERIAL_FOLD_CHECKPOINT_CO_R5.json,frozen_campaign_artifact,2,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/RESUME_LBFGS_FROM_10_SERIAL_FINALIZE_CO_R5.json,frozen_campaign_artifact,2,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/RESUME_TRIAL97_LBFGS_FALLBACK_FINALIZE_CO_R5.json,frozen_campaign_artifact,2,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/SOURCE_HASHES_AFTER_CO_INTERP_R5.csv,frozen_campaign_artifact,6,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/SOURCE_HASHES_BEFORE_CO_INTERP_R5.csv,frozen_campaign_artifact,6,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/audit/STATIC_VALIDATION_CO_INTERP_R5.json,frozen_campaign_artifact,1,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/interpolative/CO/dense_pinn/optimization/reports/HANDOFF_CO_INTERP_R5_TO_FINAL.md,frozen_campaign_artifact,4,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/protocol/walk_forward/audit/execution_metadata.json,frozen_campaign_artifact,4,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/walk_forward/CO/dense_pinn/final/audit/execution_metadata.json,frozen_campaign_artifact,4,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/walk_forward/CO/dense_pinn/optimization/audit/execution_metadata.json,frozen_campaign_artifact,4,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/walk_forward/NOx/dense_pinn/final/audit/execution_metadata.json,frozen_campaign_artifact,4,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
results/frozen/walk_forward/NOx/dense_pinn/optimization/audit/execution_metadata.json,frozen_campaign_artifact,4,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
scripts/verify_release.py,frozen_campaign_artifact,2,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
